Ticker,Security Name,Weight (%),Sector,Country,Asset Class
6886,HUATAI SECURITIES LTD H,0.1,Financials,China,Equity
1766,CRRC CORP LTD H,0.1,Industrials,China,Equity
2268,WUXI XDC CAYMAN INC,0.1,Health Care,China,Equity
763,ZTE CORP H,0.1,Information Technology,China,Equity
151,WANT WANT CHINA HOLDINGS LTD,0.09,Consumer Staples,China,Equity
144,CHINA MERCHANTS PORT HOLDINGS LTD,0.09,Industrials,China,Equity
3998,BOSIDENG INTERNATIONAL LTD,0.09,Consumer Discretionary,China,Equity
1258,CHINA NONFERROUS MINING CORPORATIO,0.09,Materials,China,Equity
601088,CHINA SHENHUA ENERGY LTD A,0.09,Energy,China,Equity
300274,SUNGROW POWER SUPPLY LTD A,0.09,Industrials,China,Equity
600000,SHANGHAI PUDONG DEVELOPMENT BANK L,0.09,Financials,China,Equity
2525,HESAI GROUP CLASS B,0.09,Consumer Discretionary,China,Equity
384,CHINA GAS HOLDINGS LTD,0.09,Utilities,China,Equity
960,LONGFOR GROUP HOLDINGS LTD,0.09,Real Estate,China,Equity
000333,MIDEA GROUP LTD A,0.09,Consumer Discretionary,China,Equity
316,ORIENT OVERSEAS (INTERNATIONAL) LT,0.09,Industrials,China,Equity
900948,INNER MONGOLIA YITAI COAL LTD B,0.09,Energy,China,Equity
9995,REMEGEN LTD H,0.09,Health Care,China,Equity
1548,GENSCRIPT BIOTECH CORP,0.09,Health Care,China,Equity
6969,SMOORE INTERNATIONAL HOLDINGS LTD,0.09,Consumer Staples,China,Equity
1357,MEITU INC,0.09,Communication,China,Equity
603259,WUXI APPTEC LTD A,0.08,Health Care,China,Equity
3360,FAR EAST HORIZON LTD,0.08,Financials,China,Equity
600309,WANHUA CHEMICAL GROUP LTD A,0.08,Materials,China,Equity
300394,SUZHOU TFC OPTICAL COMMUNICATION L,0.08,Information Technology,China,Equity
1193,CHINA RESOURCES GAS GROUP LTD,0.08,Utilities,China,Equity
1776,GF SECURITIES LTD H,0.08,Financials,China,Equity
2588,BOC AVIATION LTD,0.08,Industrials,China,Equity
