Ticker,Security Name,Weight (%),Sector,Country,Asset Class
2883,KGI FINANCIAL HOLDING LTD,0.09,Financials,Taiwan,Equity
033780,KT&G CORP,0.09,Consumer Staples,Korea (South),Equity
207940,SAMSUNG BIOLOGICS LTD,0.09,Health Care,Korea (South),Equity
TPEIR,PIRAEUS BANK SA,0.09,Financials,Greece,Equity
9992,POP MART INTERNATIONAL GROUP LTD,0.09,Consumer Discretionary,China,Equity
064350,HYUNDAI-ROTEM,0.09,Industrials,Korea (South),Equity
042700,HANMI SEMICONDUCTOR LTD,0.09,Information Technology,Korea (South),Equity
1216,UNI-PRESIDENT ENTERPRISES CORP,0.09,Consumer Staples,Taiwan,Equity
ADVANC.R,ADVANCED INFO SERVICE NON-VOTING D,0.09,Communication,Thailand,Equity
2015,LI AUTO CLASS A INC,0.09,Consumer Discretionary,China,Equity
PTT.R,PTT NON-VOTING DR PCL,0.09,Energy,Thailand,Equity
9926,AKESO INC,0.09,Health Care,China,Equity
QIBK,QATAR ISLAMIC BANK,0.09,Financials,Qatar,Equity
9866,NIO CLASS A INC,0.09,Consumer Discretionary,China,Equity
1010,RIYAD BANK,0.09,Financials,Saudi Arabia,Equity
2449,KING YUAN ELECTRONICS LTD,0.09,Information Technology,Taiwan,Equity
066570,LG ELECTRONICS INC,0.09,Consumer Discretionary,Korea (South),Equity
006800,MIRAE ASSET SECURITIES CO LTD,0.09,Financials,Korea (South),Equity
2892,FIRST FINANCIAL HOLDING LTD,0.09,Financials,Taiwan,Equity
PRIO3,PETRO RIO SA,0.09,Energy,Brazil,Equity
NESTLEIND,NESTLE INDIA LTD,0.09,Consumer Staples,India,Equity
086520,ECOPRO LTD,0.09,Industrials,Korea (South),Equity
EICHERMOT,EICHER MOTORS LTD,0.09,Consumer Discretionary,India,Equity
ASIANPAINT,ASIAN PAINTS LTD,0.08,Materials,India,Equity
EMBJ3,EMBRAER SA,0.08,Industrials,Brazil,Equity
PZU,PZU SA,0.08,Financials,Poland,Equity
2057,ZTO EXPRESS (CAYMAN) INC,0.08,Industrials,China,Equity
EQTL3,EQUATORIAL SA,0.08,Utilities,Brazil,Equity
HAR,HARMONY GOLD MINING COMPANY LIMITE,0.08,Materials,South Africa,Equity
HAL,HINDUSTAN AERONAUTICS LTD,0.08,Industrials,India,Equity
2338,WEICHAI POWER LTD H,0.08,Industrials,China,Equity
000810,SAMSUNG FIRE & MARINE INSURANCE LT,0.08,Financials,Korea (South),Equity
3653,JENTECH PRECISION INDUSTRIAL LTD,0.08,Information Technology,Taiwan,Equity
TENAGA,TENAGA NASIONAL,0.08,Utilities,Malaysia,Equity
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC Z,0.08,Industrials,India,Equity
BMRI,BANK MANDIRI (PERSERO),0.08,Financials,Indonesia,Equity
ITC,ITC LTD,0.08,Consumer Staples,India,Equity
2059,KING SLIDE WORKS LTD,0.08,Information Technology,Taiwan,Equity
9868,XPENG CLASS A INC,0.08,Consumer Discretionary,China,Equity
035720,KAKAO CORP,0.08,Communication,Korea (South),Equity
2880,HUA NAN FINANCIAL HOLDINGS LTD,0.08,Financials,Taiwan,Equity
4958,ZHEN DING TECHNOLOGY HOLDING LTD,0.08,Information Technology,Taiwan,Equity
3993,CMOC GROUP LTD,0.08,Materials,China,Equity
SLM,SANLAM LIMITED LTD,0.08,Financials,South Africa,Equity
GAPB,GRUPO AEROPORTUARIO DEL PACIFICO,0.08,Industrials,Mexico,Equity
HTHT,H WORLD GROUP ADR LTD,0.08,Consumer Discretionary,China,Equity
DSY,DISCOVERY LTD,0.08,Financials,South Africa,Equity
SSW,SIBANYE STILLWATER LTD,0.08,Materials,South Africa,Equity
RENT3,LOCALIZA RENT A CAR SA,0.07,Industrials,Brazil,Equity
TVSMOTOR,TVS MOTOR COMPANY LTD,0.07,Consumer Discretionary,India,Equity
TMCV,TATA MOTORS LTD,0.07,Industrials,India,Equity
196170,ALTEOGEN INC,0.07,Health Care,Korea (South),Equity
ONGC,OIL AND NATURAL GAS LTD,0.07,Energy,India,Equity
APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD,0.07,Health Care,India,Equity
1060,SAUDI AWWAL BANK,0.07,Financials,Saudi Arabia,Equity
2379,REALTEK SEMICONDUCTOR CORP,0.07,Information Technology,Taiwan,Equity
3034,NOVATEK MICROELECTRONICS CORP,0.07,Information Technology,Taiwan,Equity
INDIGO,INTERGLOBE AVIATION LTD,0.07,Industrials,India,Equity
1150,ALINMA BANK,0.07,Financials,Saudi Arabia,Equity
COALINDIA,COAL INDIA LTD,0.07,Energy,India,Equity
SBILIFE,SBI LIFE INSURANCE COMPANY LTD,0.07,Financials,India,Equity
2020,SABIC AGRI-NUTRIENTS,0.07,Materials,Saudi Arabia,Equity
998,CHINA CITIC BANK CORP LTD H,0.07,Financials,China,Equity
3529,EMEMORY TECHNOLOGY INC,0.07,Information Technology,Taiwan,Equity
300308,ZHONGJI INNOLIGHT LTD A,0.07,Information Technology,China,Equity
000150,DOOSAN CORP,0.07,Industrials,Korea (South),Equity
GRASIM,GRASIM INDUSTRIES LTD,0.07,Materials,India,Equity
267250,HD HYUNDAI LTD,0.07,Energy,Korea (South),Equity
DIVISLAB,DIVIS LABORATORIES LTD,0.07,Health Care,India,Equity
ALDAR,ALDAR PROPERTIES,0.07,Real Estate,United Arab Emirates,Equity
1093,CSPC PHARMACEUTICAL GROUP LTD,0.07,Health Care,China,Equity
SHP,SHOPRITE HOLDINGS LTD,0.07,Consumer Staples,South Africa,Equity
TLKM,TELEKOMUNIKASI INDONESIA,0.07,Communication,Indonesia,Equity
TECHM,TECH MAHINDRA LTD,0.07,Information Technology,India,Equity
MAXHEALTH,MAX HEALTHCARE INSTITUTE LTD,0.07,Health Care,India,Equity
BID,BID CORPORATION LTD,0.07,Consumer Staples,South Africa,Equity
GULF.R,GULF DEVELOPMENT NON-VOTING DR PCL,0.07,Utilities,Thailand,Equity
JSWSTEEL,JSW STEEL LTD,0.07,Materials,India,Equity
PMETAL,PRESS METAL ALUMINIUM HOLDINGS,0.07,Materials,Malaysia,Equity
047810,KOREA AEROSPACE INDUSTRIES LTD,0.07,Industrials,Korea (South),Equity
CHILE,BANCO DE CHILE,0.07,Financials,Chile,Equity
000720,HYUNDAI ENGINEERING & CONSTRUCTION,0.07,Industrials,Korea (South),Equity
3008,LARGAN PRECISION LTD,0.07,Information Technology,Taiwan,Equity
