iShares MSCI Kokusai ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Dec 10, 2007"
Shares Outstanding,"1,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","458,495.31","0.18","458,495.31","3,549.00","129.19","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","451,885.50","0.18","451,885.50","2,475.00","182.58","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","445,321.76","0.18","445,321.76","4,979.00","89.44","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","443,470.16","0.18","443,470.16","1,036.00","428.06","United States","NASDAQ","USD","1.00","USD","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","441,087.29","0.18","441,087.29","9,432.00","46.76","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.40","DKK","-"
"WELL","WELLTOWER INC","Real Estate","Equity","436,371.00","0.18","436,371.00","2,004.00","217.75","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","433,276.69","0.17","433,276.69","5,801.00","74.69","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","432,650.40","0.17","432,650.40","5,096.00","84.90","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","430,405.36","0.17","430,405.36","749.00","574.64","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","430,025.00","0.17","430,025.00","16,700.00","25.75","United States","NYSE","USD","1.00","USD","-"
"IBE","IBERDROLA SA","Utilities","Equity","428,903.01","0.17","428,903.01","18,764.00","22.86","Spain","Bolsa De Madrid","USD","0.86","EUR","-"
"UBSG","UBS GROUP AG","Financials","Equity","428,737.86","0.17","428,737.86","9,269.00","46.26","Switzerland","SIX Swiss Exchange","USD","0.78","CHF","-"
"BATS","BRITISH AMERICAN TOBACCO","Consumer Staples","Equity","427,956.93","0.17","427,956.93","6,396.00","66.91","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","426,263.25","0.17","426,263.25","735.00","579.95","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","424,960.84","0.17","424,960.84","3,572.00","118.97","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","403,694.79","0.16","403,694.79","1,073.00","376.23","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","400,822.52","0.16","400,822.52","1,841.00","217.72","United States","NASDAQ","USD","1.00","USD","-"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","398,941.72","0.16","398,941.72","24,712.00","16.14","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"MC","LVMH","Consumer Discretionary","Equity","392,939.14","0.16","392,939.14","730.00","538.28","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","386,465.94","0.16","386,465.94","2,709.00","142.66","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","374,000.95","0.15","374,000.95","3,215.00","116.33","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","368,778.96","0.15","368,778.96","913.00","403.92","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","366,890.00","0.15","366,890.00","2,375.00","154.48","United States","NASDAQ","USD","1.00","USD","-"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","366,844.70","0.15","366,844.70","16,561.00","22.15","Spain","Bolsa De Madrid","USD","0.86","EUR","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","364,931.52","0.15","364,931.52","1,632.00","223.61","United States","NYSE","USD","1.00","USD","-"
"ULVR","UNILEVER PLC","Consumer Staples","Equity","362,384.21","0.15","362,384.21","6,363.00","56.95","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","359,746.45","0.14","359,746.45","3,703.00","97.15","United States","NYSE","USD","1.00","USD","-"
"RIO","RIO TINTO PLC","Materials","Equity","359,764.95","0.14","359,764.95","3,272.00","109.95","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","358,429.50","0.14","358,429.50","4,950.00","72.41","United States","NYSE","USD","1.00","USD","-"
"ENB","ENBRIDGE INC","Energy","Equity","356,362.73","0.14","356,362.73","6,348.00","56.14","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"AIR","AIRBUS GROUP","Industrials","Equity","351,264.72","0.14","351,264.72","1,741.00","201.76","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","351,226.40","0.14","351,226.40","3,301.00","106.40","United States","NASDAQ","USD","1.00","USD","-"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","Information Technology","Equity","350,132.36","0.14","350,132.36","3,596.00","97.37","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"SAF","SAFRAN SA","Industrials","Equity","349,962.70","0.14","349,962.70","1,058.00","330.78","France","Nyse Euronext - Euronext Paris","USD","0.86","EUR","-"
"CB","CHUBB","Financials","Equity","349,858.37","0.14","349,858.37","1,093.00","320.09","United States","NYSE","USD","1.00","USD","-"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","349,762.83","0.14","349,762.83","10,764.00","32.49","Germany","Xetra","USD","0.86","EUR","-"
