iShares MSCI China ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Mar 29, 2011"
Shares Outstanding,"116,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"3328","BANK OF COMMUNICATIONS LTD H","Financials","Equity","20,083,166.33","0.30","20,083,166.33","21,372,200.00","0.94","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Health Care","Equity","20,045,736.17","0.30","20,045,736.17","19,724,400.00","1.02","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"688","CHINA OVERSEAS LAND INVESTMENT LTD","Real Estate","Equity","19,708,909.78","0.29","19,708,909.78","9,395,500.00","2.10","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"601138","FOXCONN INDUSTRIAL INTERNET LTD A","Information Technology","Equity","19,176,347.90","0.28","19,176,347.90","1,896,306.00","10.11","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"1177","SINO BIOPHARMACEUTICAL LTD","Health Care","Equity","17,611,311.99","0.26","17,611,311.99","24,676,000.00","0.71","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"688256","CAMBRICON TECHNOLOGIES CORPORATION","Information Technology","Equity","17,307,911.82","0.26","17,307,911.82","93,141.00","185.82","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"267","CITIC LTD","Industrials","Equity","17,121,003.78","0.25","17,121,003.78","9,985,000.00","1.71","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2319","CHINA MENGNIU DAIRY LTD","Consumer Staples","Equity","17,115,706.55","0.25","17,115,706.55","7,591,000.00","2.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"3692","HANSOH PHARMACEUTICAL GROUP LTD","Health Care","Equity","16,946,606.40","0.25","16,946,606.40","3,718,000.00","4.56","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9901","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","16,885,544.81","0.25","16,885,544.81","3,251,090.00","5.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"600036","CHINA MERCHANTS BANK LTD A","Financials","Equity","16,868,804.62","0.25","16,868,804.62","3,026,525.00","5.57","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"6618","JD HEALTH INTERNATIONAL INC","Consumer Staples","Equity","16,797,635.21","0.25","16,797,635.21","2,720,550.00","6.17","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"20","SENSETIME GROUP CLASS B INC","Information Technology","Equity","16,773,534.29","0.25","16,773,534.29","68,071,000.00","0.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"688041","HYGON INFORMATION TECHNOLOGY LTD A","Information Technology","Equity","16,715,031.63","0.25","16,715,031.63","348,677.00","47.94","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"6690","HAIER SMART HOME CLASS H LTD H","Consumer Discretionary","Equity","15,634,551.86","0.23","15,634,551.86","5,836,800.00","2.68","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9698","GDS HOLDINGS LTD CLASS A","Information Technology","Equity","15,627,872.94","0.23","15,627,872.94","2,755,600.00","5.67","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2359","WUXI APPTEC LTD H","Health Care","Equity","15,567,035.40","0.23","15,567,035.40","937,181.00","16.61","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"788","CHINA TOWER CORP LTD H","Communication","Equity","15,451,365.10","0.23","15,451,365.10","10,844,200.00","1.42","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1339","THE PEOPLES INSURANCE CO (GROUP)","Financials","Equity","14,971,145.50","0.22","14,971,145.50","21,320,000.00","0.70","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1171","YANKUANG ENERGY GROUP COMPANY LTD","Energy","Equity","14,705,246.80","0.22","14,705,246.80","8,037,500.00","1.83","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","Jan 01, 1998"
"1336","NEW CHINA LIFE INSURANCE COMPANY L","Financials","Equity","14,469,886.62","0.21","14,469,886.62","2,226,600.00","6.50","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2688","ENN ENERGY HOLDINGS LTD","Utilities","Equity","14,457,687.30","0.21","14,457,687.30","1,882,600.00","7.68","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","Information Technology","Equity","14,289,852.41","0.21","14,289,852.41","1,685,600.00","8.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1658","POSTAL SAVINGS BANK OF CHINA LTD H","Financials","Equity","14,194,231.65","0.21","14,194,231.65","21,799,000.00","0.65","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"600900","CHINA YANGTZE POWER LTD A","Utilities","Equity","14,172,484.38","0.21","14,172,484.38","3,568,741.00","3.97","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"601899","ZIJIN MINING GROUP LTD A","Materials","Equity","14,043,050.21","0.21","14,043,050.21","2,842,000.00","4.94","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"2331","LI NING LTD","Consumer Discretionary","Equity","13,940,008.81","0.21","13,940,008.81","5,701,500.00","2.44","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1208","MMG LTD","Materials","Equity","13,842,285.89","0.20","13,842,285.89","10,475,200.00","1.32","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"291","CHINA RESOURCES BEER HOLDINGS LTD","Consumer Staples","Equity","13,713,108.37","0.20","13,713,108.37","3,957,500.00","3.47","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1818","ZHAOJIN MINING INDUSTRY LTD H","Materials","Equity","13,631,326.29","0.20","13,631,326.29","4,220,000.00","3.23","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","13,495,510.95","0.20","13,495,510.95","9,264,000.00","1.46","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"300502","EOPTOLINK TECHNOLOGY INC LTD A","Information Technology","Equity","13,442,469.70","0.20","13,442,469.70","147,580.00","91.09","China","Shenzhen Stock Exchange","USD","6.79","CNY","-"
"6030","CITIC SECURITIES COMPANY LTD H","Financials","Equity","13,233,014.40","0.20","13,233,014.40","3,847,300.00","3.44","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Financials","Equity","13,232,040.99","0.20","13,232,040.99","1,577,543.00","8.39","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"836","CHINA RESOURCES POWER LTD","Utilities","Equity","13,193,760.23","0.20","13,193,760.23","5,070,599.00","2.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"9626","BILIBILI INC","Communication","Equity","13,089,918.16","0.19","13,089,918.16","613,925.00","21.32","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"BZ","KANZHUN AMERICAN DEPOSITORY SHARES","Industrials","Equity","13,000,099.08","0.19","13,000,099.08","906,562.00","14.34","China","NASDAQ","USD","1.00","USD","-"
"358","JIANGXI COPPER LTD H","Materials","Equity","12,933,123.95","0.19","12,933,123.95","2,571,000.00","5.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"601288","AGRICULTURAL BANK OF CHINA LTD A","Financials","Equity","12,471,675.30","0.18","12,471,675.30","12,515,400.00","1.00","China","Shanghai Stock Exchange","USD","6.79","CNY","-"
"2099","CHINA GOLD INTERNATIONAL RESOURCES","Materials","Equity","12,344,369.54","0.18","12,344,369.54","587,400.00","21.02","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","12,316,904.14","0.18","12,316,904.14","2,026,700.00","6.08","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"1919","COSCO SHIPPING HOLDINGS LTD H","Industrials","Equity","12,158,782.24","0.18","12,158,782.24","6,344,600.00","1.92","China","Hong Kong Exchanges And Clearing Ltd","USD","7.83","HKD","-"
"TME","TENCENT MUSIC ENTERTAINMENT GROUP","Communication","Equity","11,967,011.80","0.18","11,967,011.80","1,391,513.00","8.60","China","NYSE","USD","1.00","USD","-"
