iShares U.S. Financial Services ETF
Fund Holdings as of,"May 14, 2026"
Inception Date,"Jun 12, 2000"
Shares Outstanding,"22,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BPOP","POPULAR INC","Financials","Equity","2,837,705.28","0.14","2,837,705.28","19,592.00","144.84","United States","NASDAQ","USD","1.00","USD","-"
"SSB","SOUTHSTATE BANK CORP","Financials","Equity","2,753,423.67","0.14","2,753,423.67","29,521.00","93.27","United States","NYSE","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","2,694,901.26","0.14","2,694,901.26","21,183.00","127.22","United States","NASDAQ","USD","1.00","USD","-"
"ZION","ZIONS BANCORPORATION","Financials","Equity","2,650,750.17","0.13","2,650,750.17","44,113.00","60.09","United States","NASDAQ","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","2,630,929.39","0.13","2,630,929.39","11,563.00","227.53","United States","NASDAQ","USD","1.00","USD","-"
"JEF","JEFFERIES FINANCIAL GROUP INC","Financials","Equity","2,607,205.05","0.13","2,607,205.05","49,239.00","52.95","United States","NYSE","USD","1.00","USD","-"
"CFR","CULLEN FROST BANKERS INC","Financials","Equity","2,587,738.25","0.13","2,587,738.25","19,133.00","135.25","United States","NYSE","USD","1.00","USD","-"
"SEIC","SEI INVESTMENTS","Financials","Equity","2,553,845.00","0.13","2,553,845.00","27,850.00","91.70","United States","NASDAQ","USD","1.00","USD","-"
"AMG","AFFILIATED MANAGERS GROUP INC","Financials","Equity","2,530,691.70","0.13","2,530,691.70","8,377.00","302.10","United States","NYSE","USD","1.00","USD","-"
"HLI","HOULIHAN LOKEY INC CLASS A","Financials","Equity","2,442,952.98","0.12","2,442,952.98","16,186.00","150.93","United States","NYSE","USD","1.00","USD","-"
"WAL","WESTERN ALLIANCE","Financials","Equity","2,304,171.78","0.12","2,304,171.78","30,346.00","75.93","United States","NYSE","USD","1.00","USD","-"
"VOYA","VOYA FINANCIAL INC","Financials","Equity","2,289,185.76","0.12","2,289,185.76","27,992.00","81.78","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","2,273,206.41","0.12","2,273,206.41","2,273,206.00","1.00","United States","-","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","2,220,844.32","0.11","2,220,844.32","11,112.00","199.86","United States","NYSE","USD","1.00","USD","-"
"CRBG","COREBRIDGE FINANCIAL INC","Financials","Equity","2,102,740.86","0.11","2,102,740.86","76,021.00","27.66","United States","NYSE","USD","1.00","USD","-"
"CBSH","COMMERCE BANCSHARES INC","Financials","Equity","2,082,942.40","0.11","2,082,942.40","40,810.00","51.04","United States","NASDAQ","USD","1.00","USD","-"
"PB","PROSPERITY BANCSHARES INC","Financials","Equity","2,016,196.88","0.10","2,016,196.88","30,088.00","67.01","United States","NYSE","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,901,390.00","0.10","1,901,390.00","1,901,390.00","100.00","United States","-","USD","1.00","USD","-"
"JHG","JANUS HENDERSON GROUP PLC","Financials","Equity","1,899,716.50","0.10","1,899,716.50","36,745.00","51.70","United States","NYSE","USD","1.00","USD","-"
"OMF","ONEMAIN HOLDINGS INC","Financials","Equity","1,882,045.75","0.10","1,882,045.75","34,885.00","53.95","United States","NYSE","USD","1.00","USD","-"
"VLY","VALLEY NATIONAL","Financials","Equity","1,878,730.20","0.10","1,878,730.20","143,964.00","13.05","United States","NASDAQ","USD","1.00","USD","-"
"FNB","FNB CORP","Financials","Equity","1,846,022.65","0.09","1,846,022.65","106,399.00","17.35","United States","NYSE","USD","1.00","USD","-"
"OWL","BLUE OWL CAPITAL INC CLASS A","Financials","Equity","1,844,947.08","0.09","1,844,947.08","188,068.00","9.81","United States","NYSE","USD","1.00","USD","-"
"GLXY","GALAXY DIGITAL INC CLASS A","Financials","Equity","1,838,999.88","0.09","1,838,999.88","57,397.00","32.04","United States","NASDAQ","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","1,780,658.66","0.09","1,780,658.66","42,086.00","42.31","United States","NASDAQ","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","1,780,161.36","0.09","1,780,161.36","38,316.00","46.46","United States","NYSE","USD","1.00","USD","-"
"ESNT","ESSENT GROUP LTD","Financials","Equity","1,719,929.10","0.09","1,719,929.10","28,594.00","60.15","United States","NYSE","USD","1.00","USD","-"
"MTG","MGIC INVESTMENT CORP","Financials","Equity","1,692,933.49","0.09","1,692,933.49","65,339.00","25.91","United States","NYSE","USD","1.00","USD","-"
